open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-30 02:14:00,3.0992,3.0994,3.0987,3.0987,50.0,1738203299999,154.96115,3,42.3,131.10116,0
2025-01-30 02:15:00,3.0987,3.0987,3.0987,3.0987,0,1738203359999,0,0,0,0,0
2025-01-30 02:16:00,3.0997,3.1019,3.0997,3.1019,50.0,1738203419999,155.04000,2,50.0,155.04000,0
2025-01-30 02:17:00,3.1019,3.1019,3.1019,3.1019,0,1738203479999,0,0,0,0,0
2025-01-30 02:18:00,3.1019,3.1019,3.1019,3.1019,0,1738203539999,0,0,0,0,0
2025-01-30 02:19:00,3.1019,3.1019,3.1019,3.1019,0,1738203599999,0,0,0,0,0
2025-01-30 02:20:00,3.1019,3.1019,3.1019,3.1019,0,1738203659999,0,0,0,0,0
2025-01-30 02:21:00,3.1019,3.1019,3.1019,3.1019,3.5,1738203719999,10.85665,1,0,0,0
2025-01-30 02:22:00,3.1019,3.1019,3.1019,3.1019,0,1738203779999,0,0,0,0,0
2025-01-30 02:23:00,3.0987,3.0987,3.0987,3.0987,28.5,1738203839999,88.31295,2,0,0,0
2025-01-30 02:24:00,3.0995,3.0995,3.0995,3.0995,46.5,1738203899999,144.12675,4,46.5,144.12675,0
2025-01-30 02:25:00,3.0987,3.0987,3.0987,3.0987,69.2,1738203959999,214.43004,1,0,0,0
2025-01-30 02:26:00,3.0987,3.0987,3.0987,3.0987,16.1,1738204019999,49.88907,1,0,0,0
2025-01-30 02:27:00,3.0988,3.1006,3.0988,3.1006,32.2,1738204079999,99.79432,3,32.2,99.79432,0
2025-01-30 02:28:00,3.0987,3.0987,3.0987,3.0987,6.9,1738204139999,21.38103,1,0,0,0
2025-01-30 02:29:00,3.1006,3.1068,3.1006,3.1068,92.8,1738204199999,288.04068,5,92.8,288.04068,0
2025-01-30 02:30:00,3.1060,3.1060,3.0987,3.0987,32.7,1738204259999,101.50999,2,25.0,77.65000,0
2025-01-30 02:31:00,3.0987,3.0987,3.0987,3.0987,0,1738204319999,0,0,0,0,0
2025-01-30 02:32:00,3.0987,3.1075,3.0987,3.1075,43.7,1738204379999,135.63319,2,25.0,77.68750,0
2025-01-30 02:33:00,3.1075,3.1075,3.1075,3.1075,0,1738204439999,0,0,0,0,0
2025-01-30 02:34:00,3.1075,3.1075,3.1075,3.1075,0,1738204499999,0,0,0,0,0
2025-01-30 02:35:00,3.0987,3.0987,3.0987,3.0987,1212.0,1738204559999,3755.62440,1,0,0,0
2025-01-30 02:36:00,3.0987,3.0987,3.0987,3.0987,0,1738204619999,0,0,0,0,0
2025-01-30 02:37:00,3.1079,3.1163,3.1079,3.1163,50.0,1738204679999,155.60500,3,25.0,77.69750,0
